Sample_ID,Kin,Mn,Family,Label_day,Control,Tissue_Type,Sample_Mass,EA_Mass,Percent_C,Delta_value,CN_Ratio,Recm_tips,Decm_tips,wetshootwt,wetrootwt,Root_wet_weight_removed,wetneedlewt,wetstemwt,dryneedlewt,drystemwt,dryrootwt,biomass,agbiomass,leafarea,stemlength,rVOL,branches,needles,areaperneedle,ECM Tips,wtpertip,subbranches,GROWTHRATE,dLA,dstemlength,dVOL,Al,B,C_total,Ca,Cu,Fe,K,Mg,Mn,Mo,N,Na,P,S,Zn,Wt_ICP,Health,,,,Recm_tips,Decm_tips
3.3.4.1.0,1,0,3,1,1,Dcoarse,1.372,0.0052,13.5,-26.03700858,29.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
4.2.2.0.0,0,0,2,2,1,Dcoarse,1.932,0.0052,20.05,-25.48032222,29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
1.1.1.1.0,1,0,1,2,0,Decm,0.04,0.0014,46.45,733.1094569,18.98,33,211,10.7,11.15,NA,7.28,3.16,3.038,1.4597,3.0309,NA,NA,138.6,32.5,NA,18,NA,NA,NA,NA,0,0.770833333,NA,NA,NA,22.629068,34.154416,50.713585,0.513483,1.694695,76.951337,0.65483,0.165864,165.757163,0.150121,1.103013,125.014847,0.359288,0.133653,44.550147,0.244,0,,,,,
1.1.1.1.1,1,1,1,2,0,Decm,0.01,0.0014,29.15,1353.251137,19.26,15,169,8.47,6.17,1.3,6.59,1.61,2.7225,0.7595,1.3884,NA,NA,147.05,20.6,NA,13,NA,NA,NA,NA,0,0.6875,NA,NA,NA,18.148668,37.046816,49.653828,0.295014,2.228495,39.088737,1.107945,0.112264,85.501063,0.561721,0.945231,42.759347,0.360131,0.087225,50.907347,0.247,0,,,,,
1.1.3.1.1,1,1,1,1,0,Decm,0.01,0.0013,41.01,689.1400557,22.84,40,132,6.24,7.56,1.26,4.03,1.9,1.52,0.7,1.5,NA,NA,84.464,22,NA,9,NA,NA,NA,NA,0,0.170833333,NA,NA,NA,57.994268,65.715716,50.257271,0.503816,8.382795,126.321737,0.903261,0.156801,144.885163,0.333021,1.344654,187.688947,0.536824,0.126427,66.005647,0.247,0,,,,,
1.1.4.1.1,1,1,1,1,0,Decm,0.01,0.0014,40.3,1064.330643,20.96,26,237,9.69,9.37,1.85,6.32,3.25,2.48,1.36,2,NA,NA,134.165,23,NA,19,NA,NA,NA,NA,0,0.095833333,NA,NA,NA,28.482068,39.895716,50.439049,0.487646,5.250295,91.594937,0.957942,0.146532,86.515263,0.230021,1.12878,233.920647,0.397102,0.111036,38.030947,0.243,0,,,,,
1.1.5.1.0,1,0,1,1,0,Decm,0.01,0.0015,38.05,872.0425043,22.5,28,311,7.74,8.53,1.04,5.13,2.15,2.0502,0.929,2.0071,NA,NA,115.942,30.8,NA,15,NA,NA,NA,NA,0,1.391666667,NA,NA,NA,40.991768,70.759616,50.472912,0.588982,3.301695,51.237037,0.945172,0.19993,99.142063,0.225121,1.14126,90.007547,0.670422,0.128873,64.413347,0.252,0,,,,,
1.3.1.0.1,0,1,3,1,0,Decm,0.01,0.0014,38.82,1042.46848,16.81,11,126,9.72,11.01,1.94,6.6,2.3,2.15,0.77,1.89,NA,NA,148.641,22.2,NA,11,NA,NA,NA,NA,2,0.825,NA,NA,NA,8.150568,64.430916,50.13261,0.526061,6.347095,56.122037,1.299334,0.18127,125.128863,0.755221,1.556466,460.073247,0.69596,0.140184,100.446147,0.247,0,,,,,
1.3.2.0.1,0,1,3,2,0,Decm,0.11,0.0014,37.77,721.1853406,17.66,37,528,10.12,10.38,NA,6.01,3.44,2.13,1.35,2.32,NA,NA,123.563,24.6,NA,14,NA,NA,NA,NA,0,0.433333333,NA,NA,NA,10.002568,57.060716,50.101719,0.48285,3.264195,89.895137,1.365984,0.151975,120.244463,1.053121,1.439062,125.829247,0.538403,0.155621,59.452547,0.238,0,,,,,
1.3.4.0.0,0,0,3,2,0,Decm,0.06,0.0015,45.48,285.1058041,22.51,28,214,5.08,6.4,0.77,3.45,1.44,1.45,1.06,1.8,NA,NA,71.336,20.4,NA,11,NA,NA,NA,NA,0,0.179166667,NA,NA,NA,9.261368,48.497116,52.133125,0.50617,5.107095,85.185337,0.716067,0.153763,160.375663,0.264521,1.157009,159.264847,0.50781,0.114887,85.582847,0.254,0,,,,,
